timestamp,x,y,z
2012786.0,1.2371335,24.551237,-2.5843408
2012790.9,1.4166015,24.173157,0.2057901
2012795.8,2.392908,24.005653,4.343128
2012800.6,4.1612673,23.893187,6.2048106
2012805.5,4.7283864,25.185358,4.6207056
2012810.4,4.4914885,26.219093,3.1993182
2012815.2,4.2904844,25.4749,4.343128
2012820.1,3.8693323,24.792921,6.3388133
2012825.0,3.0102785,24.225801,7.42998
2012829.9,2.2469406,24.098978,8.279462
2012834.8,1.5482116,23.070026,8.365606
2012839.6,1.2108115,21.21313,7.872668
2012844.5,0.9451987,19.830029,7.2959766
2012849.4,0.39722276,18.497179,6.944219
2012854.2,0.105287954,17.252867,6.590069
2012859.1,-0.023929082,16.132986,6.1354165
2012864.0,-0.19621846,15.180609,5.4558306
2012868.9,-0.3565433,13.921939,5.053822
2012873.8,-0.4402951,13.2016735,4.457988
2012878.6,0.12921704,12.127258,4.0966587
2012883.5,0.37329367,11.605604,2.9624202
2012888.4,1.0792016,10.440258,2.2517266
2012893.2,1.0839874,9.554882,1.9478272
2012898.1,1.1940612,8.506788,1.8401463
2012903.0,1.0792016,7.8200235,1.5721406
2012907.9,0.3326142,4.862389,2.5819478
2012912.8,-0.40200856,4.9389625,1.1677392
2012917.6,-1.1294526,5.6329055,-0.33979294
2012922.5,-1.5721406,4.7834234,-0.6867646
2012927.4,-1.509925,3.1275308,-1.0480938
2012932.2,-1.0241647,1.586498,-1.2299547
2012937.1,-0.33022133,0.8542682,-1.562569
2012942.0,0.27039862,0.48097453,-1.9334698
2012946.9,0.69633627,0.15553902,-2.1368668
2012951.8,0.7992313,-0.21775463,-1.9573988
2012956.6,0.7872668,-0.55036885,-1.9597918
2012961.5,0.5025107,-0.8518753,-2.0555081
2012966.4,0.035893623,-1.0983448,-2.1919038
2012971.2,-0.703515,-1.2347406,-2.5412683
2012976.1,-1.3783151,-1.2730271,-3.0078855
2012981.0,-2.2612982,-1.2945633,-3.5103962
2012985.9,-2.9360983,-1.4692456,-4.039229
2012990.8,-3.306999,-1.7755378,-4.343128
2012995.6,-3.515182,-2.0220072,-4.350307
2013000.5,-3.541504,-2.031579,-4.611134
2013005.4,-3.441002,-1.8281817,-4.742744
2013010.2,-3.4290373,-1.430959,-4.6159196
2013015.1,-3.2878556,-0.84948236,-4.527382
2013019.0,-3.0078855,-0.19621846,-4.730779
2013023.8,-2.5412683,0.2656128,-5.2978983
2013028.5,-1.9932925,0.105287954,-5.3266134
2013033.2,-1.067237,-0.47618872,-4.268948
2013038.0,-0.13639577,-1.3567789,-2.029186
2013042.8,0.5049036,-2.0220072,0.031107806
2013047.5,1.1677392,-1.8449322,0.7657306
2013052.2,1.536247,-1.093559,0.08375178
2013058.0,1.6702498,-0.68915755,-0.650871
2013062.9,1.3615648,-0.6389065,-0.40200856
2013067.8,0.93562704,-0.416366,0.026321989
2013072.6,0.31586388,-0.07896597,-0.3278284
2013077.5,-0.61497736,0.17707519,-0.31347096
2013082.4,-1.5553902,1.6247846,-0.2392908
2013087.2,-2.60827,4.850425,-1.1653463
2013092.1,-3.3381069,8.765223,-2.603484
